sample_id	genotype_id	qtl_group
ERR2021349	NA12814	LCL
ERR2021350	NA11918	LCL
ERR2021351	NA06984	LCL
ERR2021352	NA11843	LCL
ERR2021353	NA11995	LCL
ERR2021354	NA12749	LCL
ERR2021355	NA12815	LCL
ERR2021356	NA11920	LCL
ERR2021357	NA11932	LCL
ERR2021358	NA11829	LCL
ERR2021359	NA11881	LCL
ERR2021360	NA12489	LCL
ERR2021361	NA11830	LCL
ERR2021362	NA11894	LCL
ERR2021363	NA11893	LCL
ERR2021364	NA07051	LCL
ERR2021365	NA12413	LCL
ERR2021366	NA11919	LCL
ERR2021367	NA12828	LCL
ERR2021368	NA12154	LCL
ERR2021369	NA10847	LCL
ERR2021370	NA12046	LCL
ERR2021371	NA12340	LCL
ERR2021372	NA12763	LCL
ERR2021373	NA12234	LCL
ERR2021374	NA07056	LCL
ERR2021375	NA11831	LCL
ERR2021376	NA12778	LCL
ERR2021377	NA12827	LCL
ERR2021378	NA11931	LCL
ERR2021379	NA12776	LCL
ERR2021380	NA12414	LCL
ERR2021381	NA12843	LCL
ERR2021382	NA07357	LCL
ERR2021383	NA12761	LCL
ERR2021384	NA07347	LCL
ERR2021385	NA12842	LCL
ERR2021386	NA12287	LCL
ERR2021387	NA12777	LCL
ERR2021388	NA12760	LCL
ERR2021389	NA11994	LCL
ERR2021390	NA12716	LCL
ERR2021391	NA12348	LCL
ERR2021392	NA12813	LCL
ERR2021393	NA12156	LCL
ERR2021394	NA12874	LCL
ERR2021395	NA12400	LCL
ERR2021396	NA12775	LCL
ERR2021397	NA12347	LCL
ERR2021398	NA12718	LCL
ERR2021399	NA12283	LCL
ERR2021400	NA12751	LCL
ERR2021401	NA10851	LCL
ERR2021402	NA12272	LCL
ERR2021403	NA12890	LCL
ERR2021404	NA12546	LCL
ERR2021405	NA11930	LCL
ERR2021406	NA06985	LCL
ERR2021407	NA12282	LCL
ERR2021408	NA12341	LCL
ERR2021409	NA12249	LCL
ERR2021410	NA12045	LCL
ERR2021411	NA12155	LCL
ERR2021412	NA12005	LCL
ERR2021413	NA06989	LCL
ERR2021414	NA12006	LCL
ERR2021415	NA12286	LCL
ERR2021416	NA12873	LCL
ERR2021417	NA12275	LCL
ERR2021418	NA12383	LCL
ERR2021419	NA12889	LCL
ERR2021420	NA12762	LCL
ERR2021421	NA11992	LCL
ERR2021422	NA12717	LCL
ERR2021423	NA12748	LCL
ERR2021424	NA11832	LCL
ERR2021425	NA12043	LCL
ERR2021426	NA12750	LCL
ERR2021427	NA11933	LCL
ERR2021428	NA12830	LCL
ERR2021429	NA11840	LCL
ERR2021430	NA12878	LCL
ERR2021431	UC1027	LCL
ERR2021432	NA12044	LCL
ERR2021433	UC1046	LCL
ERR2021434	NA12872	LCL
ERR2021435	UC1087	LCL
ERR2021436	UC1061	LCL
ERR2021437	NA12399	LCL
ERR2021438	UC1016	LCL
ERR2021439	UC1023	LCL
ERR2021440	UC1099	LCL
ERR2021441	UC1064	LCL
ERR2021442	UC1011	LCL
ERR2021443	UC1139	LCL
ERR2021444	UC1067	LCL
ERR2021445	UC1029	LCL
ERR2021446	UC1053	LCL
ERR2021447	UC1098	LCL
ERR2021448	UC1119	LCL
ERR2021449	UC1052	LCL
ERR2021450	UC1070	LCL
ERR2021451	UC1074	LCL
ERR2021452	UC1206	LCL
ERR2021453	UC1072	LCL
ERR2021454	UC1101	LCL
ERR2021455	UC1102	LCL
ERR2021456	UC1071	LCL
ERR2021457	UC1117	LCL
ERR2021458	UC1200	LCL
ERR2021459	UC1077	LCL
ERR2021460	UC1025	LCL
ERR2021461	UC1120	LCL
ERR2021462	UC1073	LCL
ERR2021463	UC1076	LCL
ERR2021464	UC1103	LCL
ERR2021465	UC1086	LCL
ERR2021466	UC1112	LCL
ERR2021467	UC1048	LCL
ERR2021468	UC1216	LCL
ERR2021469	UC1100	LCL
ERR2021470	UC1129	LCL
ERR2021471	UC1218	LCL
ERR2021472	UC1107	LCL
ERR2021473	UC1203	LCL
ERR2021474	UC1092	LCL
ERR2021475	UC1056	LCL
ERR2021476	UC1014	LCL
ERR2021477	UC1113	LCL
ERR2021478	UC1091	LCL
ERR2021479	UC1069	LCL
ERR2021480	UC1083	LCL
ERR2021481	UC1208	LCL
ERR2021482	UC1058	LCL
ERR2021483	UC1094	LCL
ERR2021484	UC1199	LCL
ERR2021485	NA07037	LCL
ERR2021486	UC1108	LCL
ERR2021487	UC1131	LCL
ERR2021488	UC1210	LCL
ERR2021489	UC1089	LCL
ERR2021490	UC1001	LCL
ERR2021491	UC1212	LCL
ERR2021492	UC1079	LCL
ERR2021493	UC1096	LCL
ERR2021494	UC1012	LCL
ERR2021495	UC1105	LCL
ERR2021496	UC1130	LCL
ERR2021497	UC1075	LCL
ERR2021498	UC1080	LCL
ERR2021499	UC1196	LCL
ERR2021500	UC1136	LCL
ERR2021501	UC1207	LCL
ERR2021502	UC1148	LCL
